Component Name,Area,RT
IS_D27_C14:0,8741253.62,16.37
O2-Z-00-C06,567527.25,7.97
O2-Z-00-C07,770731.76,9.36
O2-Z-00-C08,1656987.03,10.66
O2-Z-00-C09,32300538.33,11.2
O2-Z-00-C10,5879761.42,12.89
O2-Z-00-C11,5509283.1,13.87
O2-Z-00-C12,6015815.74,14.81
O2-Z-00-C13,18478185.52,15.2
O2-Z-00-C14,5045037.97,16.5
O2-Z-00-C15,3674073.26,16.93
O2-Z-00-C16,6787189.5,18.21
O2-Z-00-C17,2808430.93,19.09
O2-Z-00-C18,5947496.79,20.02
O2-Z-00-C19,2601299.11,20.36
O2-Z-00-C20,3647488.06,21.07
O2-Z-00-C21,1591212.02,22.05
O2-Z-00-C22,1176187.04,23.18
O2-Z-00-C23,633563.84,24.07
O2-Z-00-C24,538515.44,24.94
O2-Z-00-C25,285352.03,25.59
O2-Z-00-C26,188357.65,27.11
O2-Z-00-C27,53741.67,26.8
O2-Z-00-C28,48799,28.11
O2-Z-00-C29,4407.52,27.6
O2-Z-00-C30,41535.02,28.84
O2-Z-00-C31,N/A,N/A
O2-Z-00-C32,N/A,N/A
O2-Z-00-C33,N/A,N/A
O2-Z-00-C34,N/A,N/A
O2-Z-00-C35,N/A,N/A
O2-Z-00-C36,N/A,N/A
O2-Z-00-C37,N/A,N/A
O2-Z-00-C38,N/A,N/A
O2-Z-00-C39,N/A,N/A
O2-Z-00-C40,N/A,N/A
O2-Z-02-C06,N/A,N/A
O2-Z-02-C07,N/A,N/A
O2-Z-02-C08,261288.77,9.37
O2-Z-02-C09,2365757.35,10.37
O2-Z-02-C10,6386385.35,11.53
O2-Z-02-C11,10106768.94,12.62
O2-Z-02-C12,10674565.75,13.68
O2-Z-02-C13,11177003.65,14.57
O2-Z-02-C14,10751082.95,15.43
O2-Z-02-C15,9327919.35,16.29
O2-Z-02-C16,8599821.8,17.05
O2-Z-02-C17,8003952.67,17.76
O2-Z-02-C18,7712534.04,18.71
O2-Z-02-C19,7022729.4,19.56
O2-Z-02-C20,6483449.95,20.46
O2-Z-02-C21,5174166.41,21.23
O2-Z-02-C22,3272621.06,22.14
O2-Z-02-C23,1979508.04,23.18
O2-Z-02-C24,1090003.62,24.09
O2-Z-02-C25,480416.42,24.88
O2-Z-02-C26,223152.09,25.45
O2-Z-02-C27,79479.94,26.19
O2-Z-02-C28,26503.82,26.81
O2-Z-02-C29,N/A,N/A
O2-Z-02-C30,N/A,N/A
O2-Z-02-C31,N/A,N/A
O2-Z-02-C32,N/A,N/A
O2-Z-02-C33,N/A,N/A
O2-Z-02-C34,N/A,N/A
O2-Z-02-C35,N/A,N/A
O2-Z-02-C36,N/A,N/A
O2-Z-02-C37,N/A,N/A
O2-Z-02-C38,N/A,N/A
O2-Z-02-C39,N/A,N/A
O2-Z-02-C40,N/A,N/A
O2-Z-04-C06,N/A,N/A
O2-Z-04-C07,N/A,N/A
O2-Z-04-C08,N/A,N/A
O2-Z-04-C09,88305.58,9.54
O2-Z-04-C10,830908.38,10.85
O2-Z-04-C11,3328174.97,11.77
O2-Z-04-C12,7699300.65,12.85
O2-Z-04-C13,12751184.28,13.74
O2-Z-04-C14,17331136.18,14.72
O2-Z-04-C15,20320538.82,15.49
O2-Z-04-C16,21138665.09,16.29
O2-Z-04-C17,17516201.61,17.08
O2-Z-04-C18,15490992.99,18.03
O2-Z-04-C19,12541969.93,18.95
O2-Z-04-C20,10626876.22,19.54
O2-Z-04-C21,7536721.62,20.46
O2-Z-04-C22,4729881.87,21.17
O2-Z-04-C23,2326160.9,22.17
O2-Z-04-C24,1246457.53,23.21
O2-Z-04-C25,547633.23,24.03
O2-Z-04-C26,183303.92,24.86
O2-Z-04-C27,64066.23,25.51
O2-Z-04-C28,19315.14,26.48
O2-Z-04-C29,5466.38,26.78
O2-Z-04-C30,N/A,N/A
O2-Z-04-C31,N/A,N/A
O2-Z-04-C32,N/A,N/A
O2-Z-04-C33,N/A,N/A
O2-Z-04-C34,N/A,N/A
O2-Z-04-C35,N/A,N/A
O2-Z-04-C36,N/A,N/A
O2-Z-04-C37,N/A,N/A
